id,id_salarié,date_de_début,type,distance_m,date_de_fin,temps_écoulé_s,commentaire
1,59019,2026-01-22 09:15:42.272560,Fitness,6539.0,2026-01-22 10:51:55.272560,5773,Super séance
2,59019,2025-05-17 12:18:31.496797,Marche,4427.0,2025-05-17 13:07:40.496797,2949,Séance intense
3,59019,2025-12-09 07:58:10.708567,Natation,834.0,2025-12-09 09:26:12.708567,5282,Belle progression
4,59019,2025-05-08 04:32:23.378326,Fitness,8744.0,2025-05-08 06:00:25.378326,5282,Bon rythme aujourd'hui
5,59019,2025-12-20 20:20:26.579361,Fitness,9033.0,2025-12-20 22:03:18.579361,6172,Séance intense
6,59019,2026-01-23 07:39:20.763357,Escalade,,2026-01-23 08:46:56.763357,4056,Séance intense
7,59019,2025-05-08 10:49:01.387137,Marche,13715.0,2025-05-08 11:57:42.387137,4121,Super séance
8,59019,2025-12-13 10:27:39.111994,Natation,978.0,2025-12-13 10:53:41.111994,1562,Activité tranquille
9,59019,2025-11-22 07:05:07.777364,Tennis,8756.0,2025-11-22 08:45:53.777364,6046,Activité tranquille
10,59019,2025-12-14 20:34:47.629972,Escalade,,2025-12-14 21:29:19.629972,3272,Activité tranquille
11,59019,2026-03-03 02:32:28.990174,Randonnée,11807.0,2026-03-03 04:58:34.990174,8766,Reprise du sport :)
12,59019,2025-11-23 03:13:49.360497,Escalade,,2025-11-23 04:44:43.360497,5454,Bon rythme aujourd'hui
13,59019,2025-07-19 22:56:56.003853,Course à pied,4591.0,2025-07-19 23:26:57.003853,1801,Séance intense
14,59019,2025-05-11 17:32:18.230276,Randonnée,8148.0,2025-05-11 20:51:53.230276,11975,Reprise du sport :)
15,59019,2025-07-14 16:48:24.620110,Escalade,,2025-07-14 18:19:52.620110,5488,Super séance
16,59019,2026-01-30 21:21:59.075007,Randonnée,23501.0,2026-01-31 02:28:18.075007,18379,Belle progression
17,59019,2025-09-08 13:29:17.526439,Course à pied,15943.0,2025-09-08 14:20:20.526439,3063,Activité tranquille
18,59019,2025-07-02 07:47:26.691050,Fitness,4017.0,2025-07-02 09:25:24.691050,5878,Séance intense
19,59019,2026-03-29 14:46:06.169402,Natation,1122.0,2026-03-29 15:54:12.169402,4086,Belle progression
20,59019,2025-07-19 00:17:08.889776,Randonnée,8916.0,2025-07-19 03:25:44.889776,11316,Super séance
21,59019,2025-12-07 17:37:14.556808,Vélo,36108.0,2025-12-07 20:07:23.556808,9009,
22,59019,2025-09-20 11:58:49.028889,Natation,1467.0,2025-09-20 12:40:30.028889,2501,Séance intense
23,59019,2025-09-20 12:09:43.607852,Vélo,73475.0,2025-09-20 14:02:56.607852,6793,Sortie entre collègues
24,59019,2025-12-29 05:45:42.018636,Marche,11136.0,2025-12-29 06:11:38.018636,1556,Séance intense
25,19841,2026-03-20 09:33:33.774911,Tennis,7977.0,2026-03-20 10:14:52.774911,2479,Reprise du sport :)
26,19841,2025-10-28 22:36:04.324480,Marche,6347.0,2025-10-28 23:17:47.324480,2503,Bon rythme aujourd'hui
27,19841,2026-03-04 08:41:34.598345,Fitness,1708.0,2026-03-04 10:14:00.598345,5546,Bon rythme aujourd'hui
28,19841,2025-10-09 10:40:19.989779,Course à pied,24539.0,2025-10-09 11:23:20.989779,2581,Séance intense
29,19841,2025-06-08 17:00:21.653149,Course à pied,15004.0,2025-06-08 17:54:17.653149,3236,Séance intense
30,19841,2025-07-31 13:50:24.574011,Fitness,3279.0,2025-07-31 15:30:32.574011,6008,Activité tranquille
31,19841,2025-07-27 07:05:09.488752,Fitness,8317.0,2025-07-27 08:00:21.488752,3312,Séance intense
32,19841,2025-05-22 00:55:32.797309,Escalade,,2025-05-22 01:31:42.797309,2170,Sortie entre collègues
33,19841,2025-08-04 04:07:49.394382,Escalade,,2025-08-04 05:40:54.394382,5585,Sortie entre collègues
34,19841,2025-05-10 05:03:00.211636,Tennis,8469.0,2025-05-10 06:53:00.211636,6600,Activité tranquille
35,19841,2026-03-15 09:44:30.572437,Course à pied,3743.0,2026-03-15 10:44:45.572437,3615,
36,19841,2025-06-18 01:13:06.541929,Natation,2940.0,2025-06-18 01:58:02.541929,2696,Sortie entre collègues
37,19841,2025-06-20 17:52:36.297433,Marche,12124.0,2025-06-20 18:22:49.297433,1813,Bon rythme aujourd'hui
38,19841,2025-07-12 02:09:23.245594,Course à pied,16464.0,2025-07-12 04:03:32.245594,6849,Belle progression
39,19841,2025-06-28 00:32:34.484015,Course à pied,21615.0,2025-06-28 02:35:59.484015,7405,Séance intense
40,19841,2025-12-30 20:11:41.962645,Course à pied,19366.0,2025-12-30 22:21:19.962645,7778,Sortie entre collègues
41,19841,2026-02-28 01:38:09.140809,Randonnée,6934.0,2026-02-28 03:28:52.140809,6643,Activité tranquille
42,19841,2025-09-05 22:17:35.109278,Escalade,,2025-09-05 23:09:51.109278,3136,
43,19841,2025-05-08 09:42:17.274280,Course à pied,21771.0,2025-05-08 11:27:20.274280,6303,Séance intense
44,19841,2025-10-27 04:37:56.398708,Course à pied,24228.0,2025-10-27 06:10:02.398708,5526,Sortie entre collègues
45,19841,2025-10-06 15:19:01.972172,Marche,2018.0,2025-10-06 16:23:40.972172,3879,Séance intense
46,19841,2026-01-18 17:39:12.646080,Course à pied,22408.0,2026-01-18 19:57:07.646080,8275,Super séance
47,19841,2026-04-26 07:15:53.648925,Fitness,2450.0,2026-04-26 09:15:49.648925,7196,Séance intense
48,19841,2025-07-27 19:45:59.828112,Escalade,,2025-07-27 20:58:45.828112,4366,
49,19841,2026-01-03 00:29:32.094239,Vélo,44460.0,2026-01-03 03:03:29.094239,9237,Super séance
50,19841,2025-09-03 06:45:35.971795,Tennis,3757.0,2025-09-03 07:41:48.971795,3373,Super séance
51,19841,2025-05-21 17:11:43.341360,Marche,1756.0,2025-05-21 18:08:40.341360,3417,Super séance
52,19841,2025-06-13 16:55:24.567108,Natation,582.0,2025-06-13 17:39:09.567108,2625,Reprise du sport :)
53,19841,2025-07-07 20:18:25.431801,Course à pied,15692.0,2025-07-07 22:06:44.431801,6499,Bon rythme aujourd'hui
54,19841,2026-02-23 03:00:34.246902,Fitness,5362.0,2026-02-23 03:56:43.246902,3369,Reprise du sport :)
55,19841,2026-04-18 09:56:45.798368,Tennis,3587.0,2026-04-18 10:46:40.798368,2995,Bon rythme aujourd'hui
56,19841,2025-05-07 21:59:00.119752,Natation,2748.0,2025-05-07 23:26:40.119752,5260,Belle progression
57,19841,2025-07-28 12:51:41.244258,Randonnée,29245.0,2025-07-28 15:57:22.244258,11141,Belle progression
58,19841,2025-12-17 13:44:09.258811,Vélo,45690.0,2025-12-17 15:11:59.258811,5270,Reprise du sport :)
59,19841,2025-10-20 20:21:58.706059,Course à pied,8705.0,2025-10-20 22:16:57.706059,6899,Reprise du sport :)
60,56482,2025-09-21 13:39:25.930995,Vélo,9562.0,2025-09-21 15:39:44.930995,7219,
61,56482,2025-08-10 18:59:46.114956,Fitness,6354.0,2025-08-10 20:58:31.114956,7125,
62,56482,2025-07-02 19:16:52.871681,Vélo,60412.0,2025-07-02 22:33:06.871681,11774,Séance intense
63,56482,2026-03-01 23:06:59.192827,Marche,4541.0,2026-03-02 01:05:00.192827,7081,Belle progression
64,56482,2025-08-07 15:27:30.258857,Natation,711.0,2025-08-07 16:09:48.258857,2538,Super séance
65,56482,2025-12-01 17:34:13.643641,Randonnée,6809.0,2025-12-01 22:22:23.643641,17290,
66,56482,2025-12-18 00:49:16.506915,Randonnée,10763.0,2025-12-18 06:41:54.506915,21158,Reprise du sport :)
67,56482,2025-12-03 18:33:21.520834,Escalade,,2025-12-03 20:33:20.520834,7199,Séance intense
68,56482,2025-10-04 20:15:29.488784,Tennis,6703.0,2025-10-04 21:18:52.488784,3803,Activité tranquille
69,56482,2026-02-23 20:08:24.518741,Course à pied,19346.0,2026-02-23 22:28:50.518741,8426,Bon rythme aujourd'hui
70,56482,2025-09-27 17:46:48.541573,Fitness,6618.0,2025-09-27 18:38:14.541573,3086,Reprise du sport :)
71,56482,2026-02-21 07:33:35.859033,Escalade,,2026-02-21 08:51:36.859033,4681,Belle progression
72,56482,2025-07-25 00:54:59.172251,Natation,1137.0,2025-07-25 01:15:31.172251,1232,
73,56482,2025-10-25 12:44:28.828440,Course à pied,6309.0,2025-10-25 14:46:18.828440,7310,Super séance
74,56482,2025-12-02 11:29:44.379412,Fitness,3691.0,2025-12-02 12:13:34.379412,2630,
75,56482,2025-11-26 04:01:26.206998,Course à pied,17560.0,2025-11-26 06:29:01.206998,8855,Activité tranquille
76,56482,2026-02-26 04:19:35.359606,Course à pied,17600.0,2026-02-26 04:47:27.359606,1672,Belle progression
77,56482,2026-04-16 21:03:50.555305,Tennis,5431.0,2026-04-16 22:47:43.555305,6233,Sortie entre collègues
78,56482,2025-09-16 11:47:17.983231,Fitness,7902.0,2025-09-16 13:39:59.983231,6762,Sortie entre collègues
79,56482,2025-10-01 00:56:15.763885,Randonnée,28417.0,2025-10-01 02:28:29.763885,5534,
80,56482,2025-05-09 16:36:33.546628,Tennis,8059.0,2025-05-09 17:49:13.546628,4360,Sortie entre collègues
81,56482,2025-06-14 18:29:15.227169,Natation,2350.0,2025-06-14 19:24:06.227169,3291,
82,56482,2025-12-03 05:15:28.087640,Escalade,,2025-12-03 06:45:20.087640,5392,Reprise du sport :)
83,56482,2026-02-16 20:42:40.060879,Vélo,11394.0,2026-02-16 23:14:44.060879,9124,Activité tranquille
84,56482,2025-10-30 08:38:41.599218,Escalade,,2025-10-30 10:37:33.599218,7132,Activité tranquille
85,56482,2026-04-23 05:14:50.591008,Course à pied,11458.0,2026-04-23 06:42:15.591008,5245,Reprise du sport :)
86,56482,2025-10-22 05:21:06.816200,Escalade,,2025-10-22 06:50:17.816200,5351,
87,56482,2025-09-07 06:45:48.507115,Randonnée,7894.0,2025-09-07 09:10:09.507115,8661,
88,56482,2025-08-18 07:52:03.355778,Fitness,2100.0,2025-08-18 08:35:48.355778,2625,Sortie entre collègues
89,56482,2025-11-29 20:55:20.378286,Randonnée,29939.0,2025-11-30 01:28:47.378286,16407,Belle progression
90,56482,2025-09-08 23:38:18.679543,Escalade,,2025-09-09 00:45:10.679543,4012,Bon rythme aujourd'hui
91,56482,2025-12-03 00:28:00.216557,Fitness,2690.0,2025-12-03 01:17:26.216557,2966,Activité tranquille
92,56482,2025-06-30 10:36:09.241537,Course à pied,23482.0,2025-06-30 11:38:42.241537,3753,Super séance
93,56482,2026-01-08 07:56:37.843165,Tennis,4004.0,2026-01-08 09:52:29.843165,6952,Séance intense
94,56482,2025-05-19 00:14:07.878206,Tennis,3934.0,2025-05-19 01:45:33.878206,5486,Activité tranquille
95,56482,2026-01-02 05:34:51.196844,Fitness,6109.0,2026-01-02 06:39:33.196844,3882,Sortie entre collègues
96,56482,2025-10-22 19:18:48.400164,Course à pied,10520.0,2025-10-22 21:40:05.400164,8477,Bon rythme aujourd'hui
97,56482,2025-05-24 08:48:40.434319,Escalade,,2025-05-24 10:33:28.434319,6288,Activité tranquille
98,56482,2026-03-08 01:55:03.113794,Tennis,9497.0,2026-03-08 03:30:27.113794,5724,Reprise du sport :)
99,56482,2025-12-19 10:57:36.011626,Escalade,,2025-12-19 11:53:22.011626,3346,Séance intense
100,56482,2026-01-20 19:59:41.562608,Randonnée,22103.0,2026-01-21 00:46:28.562608,17207,Super séance
101,56482,2026-02-02 18:39:18.858437,Natation,2309.0,2026-02-02 20:06:58.858437,5260,Activité tranquille
102,56482,2025-11-10 12:02:21.287439,Fitness,4104.0,2025-11-10 13:58:15.287439,6954,Super séance
103,21886,2025-09-23 06:49:58.531222,Natation,1375.0,2025-09-23 07:31:49.531222,2511,Reprise du sport :)
104,21886,2025-12-14 21:27:23.107881,Natation,2614.0,2025-12-14 22:25:05.107881,3462,Reprise du sport :)
105,21886,2026-04-20 20:04:41.260093,Escalade,,2026-04-20 21:09:28.260093,3887,Reprise du sport :)
106,21886,2025-07-17 01:59:07.580755,Randonnée,21395.0,2025-07-17 06:10:19.580755,15072,
107,21886,2025-06-06 23:33:37.688929,Tennis,3963.0,2025-06-07 01:14:50.688929,6073,Bon rythme aujourd'hui
108,21886,2025-09-28 02:31:58.898163,Fitness,6533.0,2025-09-28 03:13:56.898163,2518,Super séance
109,21886,2026-01-08 21:08:44.425988,Fitness,6102.0,2026-01-08 22:31:27.425988,4963,Reprise du sport :)
110,21886,2025-05-23 15:21:55.395208,Natation,2205.0,2025-05-23 16:39:34.395208,4659,Super séance
111,21886,2025-12-24 10:48:33.866202,Vélo,30872.0,2025-12-24 12:19:46.866202,5473,Reprise du sport :)
112,21886,2025-10-09 22:43:18.877467,Vélo,58170.0,2025-10-10 00:22:47.877467,5969,Super séance
113,21886,2025-09-23 16:13:25.420829,Tennis,8141.0,2025-09-23 17:00:31.420829,2826,
114,21886,2026-04-14 15:52:00.387836,Randonnée,9439.0,2026-04-14 21:17:39.387836,19539,Séance intense
115,21886,2025-09-20 16:40:02.531556,Escalade,,2025-09-20 18:21:44.531556,6102,Belle progression
116,21886,2025-06-24 18:01:13.656514,Escalade,,2025-06-24 19:14:09.656514,4376,Reprise du sport :)
117,21886,2026-03-31 15:41:14.858363,Marche,3052.0,2026-03-31 15:58:50.858363,1056,Super séance
118,21886,2025-07-16 05:38:24.643507,Randonnée,27338.0,2025-07-16 08:47:11.643507,11327,Sortie entre collègues
